#{"t_start": 1585122449.347662, "env_id": null}
r,l,t
0.345,1,14.684873
0.245,1,14.696873
-0.07,1,14.707874
0.035,1,14.719875
0.285,1,14.731875
-0.315,1,14.743874
-0.115,1,14.755874
0.385,1,14.766874
0.06,1,14.778871
0.14,1,14.791876
0.33,1,14.802874
-0.22,1,14.814878
0.11,1,14.825874
0.67,1,14.837876
0.04,1,14.848874
-0.255,1,14.858893
0.325,1,14.870873
-0.06,1,14.881874
-0.0,1,14.890874
-0.67,1,14.902872
0.22,1,14.913874
0.23,1,14.924874
-0.17,1,14.935873
-0.08,1,14.946874
-0.07,1,14.957874
-0.115,1,14.968875
-0.0,1,14.980875
0.19,1,14.992872
0.085,1,15.003874
0.235,1,15.014874
0.045,1,15.027872
-0.045,1,15.038874
-0.105,1,15.050875
-0.03,1,15.061876
0.095,1,15.074874
0.34,1,15.086881
-0.05,1,15.098876
-0.285,1,15.109889
0.235,1,15.120888
0.385,1,15.131874
0.055,1,15.141874
-0.1,1,15.152874
0.02,1,15.162881
0.255,1,15.174874
0.38,1,15.184875
0.07,1,15.196874
0.17,1,15.207873
0.25,1,15.219874
0.09,1,15.22988
-0.19,1,15.239875
0.17,1,15.252874
0.095,1,15.263876
-0.175,1,15.275874
-0.11,1,15.287874
0.56,1,15.300874
0.065,1,15.311873
-0.2,1,15.323875
0.3,1,15.334874
0.03,1,15.345874
0.275,1,15.357874
0.08,1,15.368874
0.085,1,15.379881
-0.31,1,15.390873
0.1,1,15.402091
0.07,1,15.412874
-0.21,1,15.423874
-0.34,1,15.433874
0.145,1,15.445874
0.005,1,15.456873
-0.305,1,15.466874
-0.29,1,15.477874
0.1,1,15.488874
0.58,1,15.497874
0.25,1,15.509874
0.04,1,15.519876
0.45,1,15.529874
-0.14,1,15.540874
0.5,1,15.552092
0.285,1,15.561874
0.03,1,15.571876
0.155,1,15.581876
0.085,1,15.592874
0.1,1,15.603874
0.245,1,15.614874
0.18,1,15.624892
-0.16,1,15.635874
0.015,1,15.647873
0.19,1,15.659875
0.08,1,15.670872
-0.115,1,15.680874
-0.005,1,15.691875
0.04,1,15.702874
-0.065,1,15.715899
-0.1,1,15.728874
0.135,1,15.741874
-0.035,1,15.753878
0.38,1,15.765874
-0.08,1,15.776874
-0.01,1,15.788874
0.09,1,15.800874
0.405,1,15.812874
0.095,1,15.824874
-0.13,1,15.836874
-0.295,1,15.846874
-0.42,1,15.857872
-0.145,1,15.868875
0.07,1,15.878874
-0.14,1,15.889874
0.04,1,15.899871
0.475,1,15.909874
0.165,1,15.921875
0.23,1,15.932873
-0.395,1,15.944872
-0.12,1,15.955873
0.545,1,15.965874
-0.045,1,15.975874
-0.16,1,16.378994
-0.085,1,16.389997
-0.23,1,16.401
-0.185,1,16.412999
0.055,1,16.424997
0.3,1,16.435996
0.055,1,16.446997
0.145,1,16.457997
0.15,1,16.468997
-0.025,1,16.479997
-0.255,1,16.489998
0.155,1,16.50103
0.165,1,16.511998
-0.185,1,16.524007
-0.03,1,16.535022
